chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr10	386000	388000	chr10	396000	398000	308	313	-0.0466371600	0.4887847113006243	0.7922438071466775
chr10	386000	388000	chr10	408000	410000	308	319			
chr10	386000	388000	chr10	410000	412000	308	320			
chr10	386000	388000	chr10	416000	418000	308	323			
chr10	394000	396000	chr10	408000	410000	312	319	0.1547170545	0.015465137354144343	0.10751952636690829
chr10	394000	396000	chr10	410000	412000	312	320	0.1813773471	0.003732677548633201	0.039956873709400945
chr10	394000	396000	chr10	416000	418000	312	323			
chr10	396000	398000	chr10	408000	410000	313	319	0.1240644756	0.0580418664180792	0.23893174333758166
chr10	396000	398000	chr10	410000	412000	313	320	0.1615900566	0.011382389249806576	0.09064520893482328
chr10	396000	398000	chr10	416000	418000	313	323	0.1717837495	0.00473630666043744	0.04824423993654881
chr10	408000	410000	chr10	452000	454000	319	341			
chr10	410000	412000	chr10	452000	454000	320	341			
chr10	416000	418000	chr10	452000	454000	323	341			
chr10	416000	418000	chr10	462000	464000	323	346			
chr10	416000	418000	chr10	464000	466000	323	347			
chr10	452000	454000	chr10	462000	464000	341	346	0.0029065305	0.9698591014539677	1
chr10	452000	454000	chr10	464000	466000	341	347	0.0620957081	0.427308231387067	0.7409382634502586
chr10	452000	454000	chr10	484000	486000	341	357			
chr10	452000	454000	chr10	500000	502000	341	365			
chr10	462000	464000	chr10	484000	486000	346	357			
chr10	462000	464000	chr10	500000	502000	346	365			
chr10	462000	464000	chr10	508000	510000	346	369			
chr10	464000	466000	chr10	484000	486000	347	357			
chr10	464000	466000	chr10	500000	502000	347	365			
chr10	464000	466000	chr10	508000	510000	347	369			
chr10	484000	486000	chr10	500000	502000	357	365	0.2541727620	0.0008436113362069401	0.013996278987069687
chr10	484000	486000	chr10	508000	510000	357	369	0.2810092877	6.579937924945894e-05	0.002088415080526306
chr10	500000	502000	chr10	538000	540000	365	384			
chr10	508000	510000	chr10	538000	540000	369	384			
chr10	508000	510000	chr10	552000	554000	369	391			
chr10	538000	540000	chr10	552000	554000	384	391	-0.0791515353	0.21819647461070638	0.521519088184106
chr10	538000	540000	chr10	566000	568000	384	398	0.1028346638	0.08254901097664676	0.3006824177965587
chr10	538000	540000	chr10	568000	570000	384	399			
chr10	538000	540000	chr10	574000	576000	384	402			
chr10	552000	554000	chr10	566000	568000	391	398	0.1253080429	0.05051432621634868	0.22279885466615523
chr10	552000	554000	chr10	568000	570000	391	399	0.1458738593	0.020176989976511534	0.12901707026771012
chr10	552000	554000	chr10	574000	576000	391	402	0.1102827799	0.06831883890424471	0.2679882597756577
chr10	552000	554000	chr10	590000	592000	391	410			
chr10	566000	568000	chr10	590000	592000	398	410	-0.0656879015	0.27445393005947416	0.5893637019881942
chr10	568000	570000	chr10	590000	592000	399	410	-0.0849895048	0.16076981657195777	0.43390598024970656
chr10	574000	576000	chr10	590000	592000	402	410	-0.0941658695	0.1353541053485363	0.39523398761772605
chr10	590000	592000	chr10	626000	628000	410	428	-0.1396919940	0.017408950790023525	0.11730954532354314
chr10	590000	592000	chr10	628000	630000	410	429	-0.1491290174	0.011055172395096438	0.08868434998264176
chr10	626000	628000	chr10	652000	654000	428	441	0.0256838809	0.6672916149522189	0.9122151290545315
chr10	626000	628000	chr10	654000	656000	428	442			
chr10	626000	628000	chr10	672000	674000	428	451			
chr10	628000	630000	chr10	652000	654000	429	441	-0.0240257038	0.6897297851997612	0.9260043265265347
chr10	628000	630000	chr10	654000	656000	429	442	-0.0408349616	0.4941773934930095	0.7951402619052155
chr10	628000	630000	chr10	672000	674000	429	451			
chr10	652000	654000	chr10	672000	674000	441	451	0.1998343218	0.0009757136975237646	0.015711860276301795
chr10	652000	654000	chr10	688000	690000	441	459			
chr10	654000	656000	chr10	672000	674000	442	451	0.1828238062	0.002978235997882478	0.03451897240973128
chr10	654000	656000	chr10	688000	690000	442	459			
chr10	672000	674000	chr10	688000	690000	451	459	-0.1314521907	0.03656941756453071	0.18888449166585436
chr10	672000	674000	chr10	708000	710000	451	469			
chr10	672000	674000	chr10	710000	712000	451	470			
chr10	672000	674000	chr10	712000	714000	451	471			
chr10	672000	674000	chr10	720000	722000	451	475			
chr10	688000	690000	chr10	708000	710000	459	469	-0.1358240260	0.02609439200222952	0.14881957938771523
chr10	688000	690000	chr10	710000	712000	459	470	-0.1674883961	0.005378715679322718	0.05403388687026033
chr10	688000	690000	chr10	712000	714000	459	471	-0.1646461181	0.007155674736153389	0.06529553196739968
chr10	688000	690000	chr10	720000	722000	459	475			
chr10	688000	690000	chr10	728000	730000	459	479			
chr10	708000	710000	chr10	720000	722000	469	475	0.3791662100	1.420059339044124e-06	9.424030159111004e-05
chr10	708000	710000	chr10	728000	730000	469	479			
chr10	708000	710000	chr10	740000	742000	469	485			
chr10	708000	710000	chr10	742000	744000	469	486			
chr10	710000	712000	chr10	720000	722000	470	475			
chr10	710000	712000	chr10	728000	730000	470	479			
chr10	710000	712000	chr10	740000	742000	470	485			
chr10	710000	712000	chr10	742000	744000	470	486			
chr10	712000	714000	chr10	728000	730000	471	479			
chr10	712000	714000	chr10	740000	742000	471	485			
chr10	712000	714000	chr10	742000	744000	471	486			
chr10	720000	722000	chr10	740000	742000	475	485			
chr10	720000	722000	chr10	742000	744000	475	486			
chr10	728000	730000	chr10	740000	742000	479	485			
chr10	728000	730000	chr10	742000	744000	479	486			
chr11	0	2000	chr11	26000	28000	488	501			
chr11	0	2000	chr11	42000	44000	488	509			
chr11	26000	28000	chr11	42000	44000	501	509	0.0731643444	0.2632235801513528	0.576593769677309
chr11	26000	28000	chr11	54000	56000	501	515	-0.0141146273	0.8169166952714836	0.9797631777900049
chr11	26000	28000	chr11	56000	58000	501	516			
chr11	42000	44000	chr11	54000	56000	509	515	-0.1249204965	0.05631412606301566	0.23535865663741276
chr11	42000	44000	chr11	56000	58000	509	516	-0.1120307849	0.08072117693737997	0.2986138133325374
chr11	42000	44000	chr11	84000	86000	509	530			
chr11	42000	44000	chr11	86000	88000	509	531			
chr11	54000	56000	chr11	84000	86000	515	530	-0.0759329157	0.19901342200959415	0.4897071844955182
chr11	54000	56000	chr11	86000	88000	515	531	-0.0886337763	0.1328707770658697	0.3929986170188609
chr11	56000	58000	chr11	84000	86000	516	530	-0.0942546156	0.11176072700407091	0.35783039786391124
chr11	56000	58000	chr11	86000	88000	516	531	-0.0848047274	0.1512541665414782	0.41718336874246426
chr11	84000	86000	chr11	110000	112000	530	543			
chr11	84000	86000	chr11	130000	132000	530	553			
chr11	86000	88000	chr11	110000	112000	531	543			
chr11	86000	88000	chr11	130000	132000	531	553			
chr11	110000	112000	chr11	130000	132000	543	553	0.2414477944	6.080829707574668e-05	0.001958384861704194
chr11	184000	186000	chr11	220000	222000	580	598			
chr11	220000	222000	chr11	236000	238000	598	606	-0.1812050741	0.003766353351840766	0.039956873709400945
chr11	220000	222000	chr11	238000	240000	598	607	-0.2003698584	0.0011041242794430008	0.017028395577325155
chr11	220000	222000	chr11	252000	254000	598	614			
chr11	220000	222000	chr11	264000	266000	598	620			
chr11	236000	238000	chr11	252000	254000	606	614	0.0639940387	0.3109554560589614	0.6358472911009575
chr11	236000	238000	chr11	264000	266000	606	620			
chr11	238000	240000	chr11	252000	254000	607	614	0.0391958120	0.5426606419142084	0.8293278477265292
chr11	238000	240000	chr11	264000	266000	607	620			
chr11	252000	254000	chr11	264000	266000	614	620	-0.1799663371	0.0056858499336636704	0.05583861594046385
chr11	252000	254000	chr11	292000	294000	614	634			
chr11	264000	266000	chr11	292000	294000	620	634			
chr11	292000	294000	chr11	324000	326000	634	650			
chr11	378000	380000	chr11	388000	390000	677	682	-0.2153902882	0.0011721101750444705	0.017702905402395795
chr11	378000	380000	chr11	390000	392000	677	683	-0.2289383587	0.00039659495005800086	0.008685429406270219
chr11	378000	380000	chr11	410000	412000	677	693			
chr11	378000	380000	chr11	420000	422000	677	698			
chr11	388000	390000	chr11	410000	412000	682	693	0.1350160731	0.025332091583909172	0.14754595895947098
chr11	388000	390000	chr11	420000	422000	682	698			
chr11	390000	392000	chr11	410000	412000	683	693	0.1536295080	0.011706638779892522	0.0913366913886793
chr11	390000	392000	chr11	420000	422000	683	698			
chr11	410000	412000	chr11	420000	422000	693	698	0.3593611872	2.4157419530161188e-08	4.069596059311769e-06
chr11	410000	412000	chr11	452000	454000	693	714			
chr11	410000	412000	chr11	454000	456000	693	715			
chr11	410000	412000	chr11	456000	458000	693	716			
chr11	410000	412000	chr11	458000	460000	693	717			
chr11	420000	422000	chr11	452000	454000	698	714			
chr11	420000	422000	chr11	454000	456000	698	715			
chr11	420000	422000	chr11	456000	458000	698	716			
chr11	420000	422000	chr11	458000	460000	698	717			
chr11	420000	422000	chr11	470000	472000	698	723			
chr11	452000	454000	chr11	470000	472000	714	723	-0.1238618420	0.045523518364525006	0.21122140936082576
chr11	452000	454000	chr11	472000	474000	714	724			
chr11	452000	454000	chr11	484000	486000	714	730			
chr11	452000	454000	chr11	496000	498000	714	736			
chr11	452000	454000	chr11	500000	502000	714	738			
chr11	454000	456000	chr11	470000	472000	715	723	-0.1607990574	0.010326041540703308	0.08469674522149903
chr11	454000	456000	chr11	472000	474000	715	724			
chr11	454000	456000	chr11	484000	486000	715	730			
chr11	454000	456000	chr11	496000	498000	715	736			
chr11	454000	456000	chr11	500000	502000	715	738			
chr11	456000	458000	chr11	470000	472000	716	723	-0.1483977877	0.020292715844361094	0.12918909214869417
chr11	456000	458000	chr11	472000	474000	716	724	-0.1349557592	0.03179838384398789	0.16984990394715485
chr11	456000	458000	chr11	484000	486000	716	730			
chr11	456000	458000	chr11	496000	498000	716	736			
chr11	456000	458000	chr11	500000	502000	716	738			
chr11	458000	460000	chr11	470000	472000	717	723	-0.1558507217	0.01693164649328231	0.11515997945240093
chr11	458000	460000	chr11	472000	474000	717	724	-0.1080830597	0.09208890364375544	0.3203165201309461
chr11	458000	460000	chr11	484000	486000	717	730			
chr11	458000	460000	chr11	496000	498000	717	736			
chr11	458000	460000	chr11	500000	502000	717	738			
chr11	470000	472000	chr11	484000	486000	723	730	0.3521859139	1.1170970951297545e-08	2.0477784411354064e-06
chr11	470000	472000	chr11	496000	498000	723	736	0.0907563599	0.12780007984808223	0.38764104837874586
chr11	470000	472000	chr11	500000	502000	723	738			
chr11	472000	474000	chr11	484000	486000	724	730	0.3455842285	4.3036693540883935e-08	6.283357256969055e-06
chr11	472000	474000	chr11	496000	498000	724	736	0.0576565020	0.3375963935533065	0.6571876461171033
chr11	472000	474000	chr11	500000	502000	724	738			
chr11	484000	486000	chr11	496000	498000	730	736	-0.3022423026	2.118600201550748e-06	0.00012914174544831778
chr11	484000	486000	chr11	500000	502000	730	738	-0.2643288407	1.860219869335529e-05	0.0007544225025638534
chr11	484000	486000	chr11	530000	532000	730	753			
chr11	484000	486000	chr11	532000	534000	730	754			
chr11	484000	486000	chr11	534000	536000	730	755			
chr11	496000	498000	chr11	530000	532000	736	753			
chr11	496000	498000	chr11	532000	534000	736	754			
chr11	496000	498000	chr11	534000	536000	736	755			
chr11	500000	502000	chr11	530000	532000	738	753			
chr11	500000	502000	chr11	532000	534000	738	754			
chr11	500000	502000	chr11	534000	536000	738	755			
chr11	530000	532000	chr11	572000	574000	753	774			
chr11	530000	532000	chr11	574000	576000	753	775			
chr11	532000	534000	chr11	572000	574000	754	774			
chr11	532000	534000	chr11	574000	576000	754	775			
chr11	534000	536000	chr11	572000	574000	755	774			
chr11	534000	536000	chr11	574000	576000	755	775			
chr11	572000	574000	chr11	586000	588000	774	781	-0.2428197684	0.00011986616221291332	0.0033654730159779506
chr11	572000	574000	chr11	596000	598000	774	786	-0.1754185559	0.003232380689833435	0.036489245931624864
chr11	572000	574000	chr11	602000	604000	774	789	-0.0621175349	0.29371047869643946	0.614415149419959
chr11	574000	576000	chr11	586000	588000	775	781	-0.2188363218	0.0007230206380591665	0.013060304786547813
chr11	574000	576000	chr11	596000	598000	775	786	-0.1225110869	0.042665599865263956	0.20535750264819355
chr11	574000	576000	chr11	602000	604000	775	789	0.0040623750	0.9455149022469762	1
chr11	586000	588000	chr11	596000	598000	781	786	0.0391979706	0.5607701825890795	0.8424036645144618
chr11	586000	588000	chr11	602000	604000	781	789	0.1228378356	0.05092692518686485	0.2235069462108898
chr11	586000	588000	chr11	630000	632000	781	803			
chr11	586000	588000	chr11	632000	634000	781	804			
chr11	596000	598000	chr11	630000	632000	786	803			
chr11	596000	598000	chr11	632000	634000	786	804			
chr11	596000	598000	chr11	638000	640000	786	807			
chr11	602000	604000	chr11	630000	632000	789	803	-0.0089765793	0.8827340566390522	1
chr11	602000	604000	chr11	632000	634000	789	804			
chr11	602000	604000	chr11	638000	640000	789	807			
chr11	630000	632000	chr11	656000	658000	803	816			
chr11	630000	632000	chr11	660000	662000	803	818			
chr11	630000	632000	chr11	662000	664000	803	819			
chr11	630000	632000	chr11	664000	666000	803	820			
chr11	632000	634000	chr11	656000	658000	804	816			
chr11	632000	634000	chr11	660000	662000	804	818			
chr11	632000	634000	chr11	662000	664000	804	819			
chr11	632000	634000	chr11	664000	666000	804	820			
chr11	638000	640000	chr11	656000	658000	807	816			
chr11	638000	640000	chr11	660000	662000	807	818			
chr11	638000	640000	chr11	662000	664000	807	819			
chr11	638000	640000	chr11	664000	666000	807	820			
chr12	12000	14000	chr12	26000	28000	828	835			
chr12	12000	14000	chr12	30000	32000	828	837			
chr12	12000	14000	chr12	32000	34000	828	838			
chr12	12000	14000	chr12	52000	54000	828	848			
chr12	26000	28000	chr12	52000	54000	835	848	-0.0180282328	0.7742749038767834	0.9621098967667
chr12	26000	28000	chr12	70000	72000	835	857			
chr12	30000	32000	chr12	52000	54000	837	848	-0.0367546412	0.5449594623636612	0.8305227714519263
chr12	30000	32000	chr12	70000	72000	837	857			
chr12	32000	34000	chr12	52000	54000	838	848	-0.0598658143	0.3292074072468003	0.6518593718102991
chr12	32000	34000	chr12	70000	72000	838	857			
chr12	52000	54000	chr12	70000	72000	848	857	0.0934988355	0.13201248386132414	0.3929986170188609
chr12	52000	54000	chr12	90000	92000	848	867			
chr12	70000	72000	chr12	90000	92000	857	867			
chr12	70000	72000	chr12	104000	106000	857	874			
chr12	70000	72000	chr12	120000	122000	857	882			
chr12	90000	92000	chr12	104000	106000	867	874			
chr12	90000	92000	chr12	120000	122000	867	882			
chr12	90000	92000	chr12	128000	130000	867	886			
chr12	90000	92000	chr12	132000	134000	867	888			
chr12	90000	92000	chr12	134000	136000	867	889			
chr12	90000	92000	chr12	136000	138000	867	890			
chr12	90000	92000	chr12	138000	140000	867	891			
chr12	104000	106000	chr12	120000	122000	874	882	0.3462755453	1.1220703787043322e-08	2.0477784411354064e-06
chr12	104000	106000	chr12	128000	130000	874	886			
chr12	104000	106000	chr12	132000	134000	874	888			
chr12	104000	106000	chr12	134000	136000	874	889			
chr12	104000	106000	chr12	136000	138000	874	890			
chr12	104000	106000	chr12	138000	140000	874	891			
chr12	120000	122000	chr12	132000	134000	882	888	-0.2204860732	0.0006567081502409159	0.012398196974375914
chr12	120000	122000	chr12	134000	136000	882	889	-0.2276017857	0.0003227616384754458	0.007440505139591857
chr12	120000	122000	chr12	136000	138000	882	890	-0.2089471994	0.0007990468285744749	0.013642312878677869
chr12	120000	122000	chr12	138000	140000	882	891	-0.1602911935	0.009402698850098333	0.07980081812009616
chr12	120000	122000	chr12	162000	164000	882	903			
chr12	120000	122000	chr12	170000	172000	882	907			
chr12	128000	130000	chr12	138000	140000	886	891	0.0507543999	0.45117544799488596	0.7565652611859114
chr12	128000	130000	chr12	162000	164000	886	903			
chr12	128000	130000	chr12	170000	172000	886	907			
chr12	132000	134000	chr12	162000	164000	888	903			
chr12	132000	134000	chr12	170000	172000	888	907			
chr12	132000	134000	chr12	180000	182000	888	912			
chr12	132000	134000	chr12	182000	184000	888	913			
chr12	134000	136000	chr12	162000	164000	889	903			
chr12	134000	136000	chr12	170000	172000	889	907			
chr12	134000	136000	chr12	180000	182000	889	912			
chr12	134000	136000	chr12	182000	184000	889	913			
chr12	136000	138000	chr12	162000	164000	890	903			
chr12	136000	138000	chr12	170000	172000	890	907			
chr12	136000	138000	chr12	180000	182000	890	912			
chr12	136000	138000	chr12	182000	184000	890	913			
chr12	138000	140000	chr12	162000	164000	891	903	0.3321231727	9.745174193548441e-09	2.0477784411354064e-06
chr12	138000	140000	chr12	170000	172000	891	907			
chr12	138000	140000	chr12	180000	182000	891	912			
chr12	138000	140000	chr12	182000	184000	891	913			
chr12	162000	164000	chr12	180000	182000	903	912			
chr12	162000	164000	chr12	182000	184000	903	913			
chr12	162000	164000	chr12	210000	212000	903	927			
chr12	170000	172000	chr12	180000	182000	907	912			
chr12	170000	172000	chr12	182000	184000	907	913			
chr12	170000	172000	chr12	210000	212000	907	927			
chr12	180000	182000	chr12	210000	212000	912	927			
chr12	182000	184000	chr12	210000	212000	913	927			
chr12	210000	212000	chr12	256000	258000	927	950			
chr12	256000	258000	chr12	266000	268000	950	955	-0.2549808401	0.00011005028499167494	0.003171185843839054
chr12	256000	258000	chr12	288000	290000	950	966			
chr12	256000	258000	chr12	290000	292000	950	967			
chr12	266000	268000	chr12	288000	290000	955	966	0.0030955948	0.9593573270648036	1
chr12	266000	268000	chr12	290000	292000	955	967	-0.0656243652	0.27491972481869836	0.589690692804064
chr12	344000	346000	chr12	382000	384000	994	1013			
chr12	344000	346000	chr12	394000	396000	994	1019			
chr12	382000	384000	chr12	394000	396000	1013	1019	0.0355690318	0.5886243250446037	0.8556402386504713
chr12	382000	384000	chr12	402000	404000	1013	1023	0.0056981938	0.92609353114697	1
chr12	382000	384000	chr12	420000	422000	1013	1032	0.0333820522	0.5722427524194464	0.8460436795802541
chr12	394000	396000	chr12	420000	422000	1019	1032	0.0601955038	0.31322279183606966	0.6381245840269507
chr12	402000	404000	chr12	420000	422000	1023	1032	-0.0179731093	0.7727941455806537	0.9621098967667
chr12	490000	492000	chr12	530000	532000	1067	1087			
chr12	490000	492000	chr12	538000	540000	1067	1091			
chr12	530000	532000	chr12	576000	578000	1087	1110			
chr12	538000	540000	chr12	576000	578000	1091	1110			
chr12	576000	578000	chr12	622000	624000	1110	1133			
chr12	622000	624000	chr12	650000	652000	1133	1147	-0.1899247682	0.00241496264983358	0.029546191078969497
chr12	650000	652000	chr12	682000	684000	1147	1163			
chr12	650000	652000	chr12	694000	696000	1147	1169			
chr12	682000	684000	chr12	694000	696000	1163	1169	0.0829222564	0.20651378016971964	0.5041975234912888
chr12	748000	750000	chr12	760000	762000	1196	1202	-0.0610188725	0.35311708023660004	0.6728912446910751
chr12	748000	750000	chr12	768000	770000	1196	1206	-0.0684204322	0.2646161425111141	0.5772005498997409
chr12	748000	750000	chr12	774000	776000	1196	1209	0.0691255118	0.24664426670142667	0.5575222757582062
chr12	748000	750000	chr12	776000	778000	1196	1210	0.1017876631	0.08574478214313862	0.30499819359949903
chr12	748000	750000	chr12	792000	794000	1196	1218			
chr12	760000	762000	chr12	774000	776000	1202	1209	0.2479580616	8.449523163339179e-05	0.0025348569490017537
chr12	760000	762000	chr12	776000	778000	1202	1210	0.3045248851	6.603588686105516e-07	4.986848007783131e-05
chr12	760000	762000	chr12	792000	794000	1202	1218			
chr12	768000	770000	chr12	792000	794000	1206	1218			
chr12	774000	776000	chr12	792000	794000	1209	1218	-0.1067802482	0.09610863934253931	0.3278472276638023
chr12	774000	776000	chr12	820000	822000	1209	1232			
chr12	776000	778000	chr12	792000	794000	1210	1218	-0.0890269304	0.1730261094619118	0.4540254997513852
chr12	776000	778000	chr12	820000	822000	1210	1232			
chr12	792000	794000	chr12	820000	822000	1218	1232			
chr12	820000	822000	chr12	868000	870000	1232	1256			
chr12	868000	870000	chr12	908000	910000	1256	1276			
chr12	974000	976000	chr12	998000	1000000	1309	1321			
chr12	974000	976000	chr12	1000000	1002000	1309	1322			
chr12	974000	976000	chr12	1004000	1006000	1309	1324			
chr12	974000	976000	chr12	1014000	1016000	1309	1329			
chr12	976000	978000	chr12	998000	1000000	1310	1321	0.1089664592	0.0921421611768507	0.3203165201309461
chr12	976000	978000	chr12	1000000	1002000	1310	1322			
chr12	976000	978000	chr12	1004000	1006000	1310	1324			
chr12	976000	978000	chr12	1014000	1016000	1310	1329			
chr12	998000	1000000	chr12	1014000	1016000	1321	1329	-0.0985029998	0.11816177169132887	0.37114559435021277
chr12	998000	1000000	chr12	1038000	1040000	1321	1341			
chr12	1000000	1002000	chr12	1014000	1016000	1322	1329	-0.1151312664	0.07260935621829177	0.27848422087225744
chr12	1000000	1002000	chr12	1038000	1040000	1322	1341			
chr12	1004000	1006000	chr12	1014000	1016000	1324	1329	-0.0898242666	0.18157874810502173	0.4665441738400838
chr12	1004000	1006000	chr12	1038000	1040000	1324	1341			
chr12	1014000	1016000	chr12	1038000	1040000	1329	1341			
chr12	1014000	1016000	chr12	1060000	1062000	1329	1352			
chr12	1038000	1040000	chr12	1060000	1062000	1341	1352	0.2885130421	0.00025126636003368515	0.006125034513552842
chr13	8000	10000	chr13	18000	20000	1362	1367			
chr13	8000	10000	chr13	38000	40000	1362	1377			
chr13	8000	10000	chr13	56000	58000	1362	1386			
chr13	8000	10000	chr13	58000	60000	1362	1387			
chr13	10000	12000	chr13	38000	40000	1363	1377	-0.0338868105	0.6780057877935962	0.9183883322512116
chr13	10000	12000	chr13	56000	58000	1363	1386	0.0389880934	0.5859494025314842	0.8556402386504713
chr13	10000	12000	chr13	58000	60000	1363	1387			
chr13	18000	20000	chr13	38000	40000	1367	1377	-0.2338986799	0.00079849324880762	0.013642312878677869
chr13	18000	20000	chr13	56000	58000	1367	1386	-0.0015908714	0.9798521086103863	1
chr13	18000	20000	chr13	58000	60000	1367	1387	0.0013148804	0.9832152641730604	1
chr13	38000	40000	chr13	56000	58000	1377	1386	0.1151913533	0.06309853194161262	0.25355189899473696
