chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr2	177000	178000	chr2	194000	195000	304	321	0	0	0.5880938971	0.0000000000	0.0000000000
chr2	182000	183000	chr2	206000	207000	309	333	0	0	0.5901845993	0.0000000000	0.0000000000
chr2	204000	205000	chr2	242000	243000	331	369	0	0	0.4233700820	0.0000000000	0.0000000000
chr2	206000	207000	chr2	229000	230000	333	356	0	0	0.5656185958	0.0000000000	0.0000000000
chr2	215000	216000	chr2	242000	243000	342	369	0	0	0.5063397956	0.0000000000	0.0000000000
chr2	215000	216000	chr2	229000	230000	342	356	0	0	0.5828179402	0.0000000000	0.0000000000
chr2	230000	231000	chr2	241000	242000	357	368	0	0	0.6431810664	0.0000000000	0.0000000000
chr2	249000	250000	chr2	258000	259000	376	385	0	0	0.6954603958	0.0000000000	0.0000000000
chr2	249000	250000	chr2	288000	289000	376	415	0	0	0.4268747595	0.0000000000	0.0000000000
chr2	249000	250000	chr2	277000	278000	376	404	0	0	0.4047891816	0.0000000000	0.0000000000
chr2	249000	250000	chr2	297000	298000	376	424	0	0	0.3688278737	0.0000000001	0.0000000001
chr2	264000	265000	chr2	295000	296000	391	422	0	0	0.6901064000	0.0000000000	0.0000000000
chr2	265000	266000	chr2	279000	280000	392	406	0	0	0.5277570653	0.0000000000	0.0000000000
chr2	296000	297000	chr2	313000	314000	423	440	0	0	0.5412875227	0.0000000000	0.0000000000
chr2	295000	296000	chr2	327000	328000	422	454	0	0	0.5839288948	0.0000000000	0.0000000000
chr2	313000	314000	chr2	327000	328000	440	454	0	0	0.6921904061	0.0000000000	0.0000000000
chr2	325000	326000	chr2	339000	340000	452	466	0	0	0.3799695886	0.0000000086	0.0000000091
chr2	328000	329000	chr2	358000	359000	455	485	0	0	0.4402629252	0.0000000000	0.0000000000
chr2	358000	359000	chr2	388000	389000	485	515	0	0	0.5377117707	0.0000000000	0.0000000000
chr2	362000	363000	chr2	412000	413000	489	539	0	0	0.4005669731	0.0000000000	0.0000000000
chr2	373000	374000	chr2	414000	415000	500	541	0	0	0.4030445591	0.0000000075	0.0000000080
chr2	389000	390000	chr2	414000	415000	516	541	0	0	0.5716846695	0.0000000000	0.0000000000
chr2	402000	403000	chr2	415000	416000	529	542	0	0	0.4449028953	0.0000000095	0.0000000098
chr3	1000	2000	chr3	18000	19000	550	567	0	0	0.5629958194	0.0000000000	0.0000000000
chr3	15000	16000	chr3	52000	53000	564	601	0	0	0.4516213098	0.0000000000	0.0000000000
chr3	18000	19000	chr3	27000	28000	567	576	0	0	0.4213046539	0.0000000000	0.0000000000
chr3	40000	41000	chr3	85000	86000	589	634	0	0	0.5336588113	0.0000000000	0.0000000000
chr3	43000	44000	chr3	75000	76000	592	624	0	0	0.6012166697	0.0000000000	0.0000000000
chr3	58000	59000	chr3	76000	77000	607	625	0	0	0.4128244269	0.0000000012	0.0000000014
chr3	93000	94000	chr3	105000	106000	642	654	0	0	0.6135360863	0.0000000000	0.0000000000
chr3	93000	94000	chr3	118000	119000	642	667	0	0	0.4801936020	0.0000000000	0.0000000000
chr3	104000	105000	chr3	118000	119000	653	667	0	0	0.5677731897	0.0000000000	0.0000000000
chr3	122000	123000	chr3	156000	157000	671	705	0	0	0.4805436563	0.0000000000	0.0000000000
chr3	122000	123000	chr3	165000	166000	671	714	0	0	0.3616382422	0.0000000848	0.0000000848
chr3	139000	140000	chr3	155000	156000	688	704	0	0	0.4691464554	0.0000000000	0.0000000000
chr3	140000	141000	chr3	166000	167000	689	715	0	0	0.4444010296	0.0000000049	0.0000000054
chr3	155000	156000	chr3	165000	166000	704	714	0	0	0.5198473963	0.0000000000	0.0000000000
